strategy,days_tracked,initial_value,current_value,total_return,max_drawdown,annualized_vol,annualized_return,sharpe_estimate
SPY_benchmark_for_V12,25,9952.004919723751,9799.471461666262,-0.015326907420954439,-0.023110633514902168,0.06223925114509233,-0.14417677097690906,-2.316492700736449
SPY_benchmark_for_V13,25,9952.004919723751,9799.471461666262,-0.015326907420954439,-0.023110633514902168,0.06223925114509233,-0.14417677097690906,-2.316492700736449
V12_champion,25,10064.38057673472,9691.052863246923,-0.037093958305869146,-0.08254264360663965,0.22966157344141108,-0.31683465204859695,-1.3795718948578246
V13_defensive,25,10014.702265346446,9886.397072464417,-0.012811683211591762,-0.02965949694700387,0.0907739380648462,-0.12188363750686071,-1.3427162036287406
