strategy,ticker,target_weight,entry_price,shares,entry_value,last_price,last_value,created_at,updated_at
V12_champion,MU,0.0499999999999999,949.2199096679688,0.526748327660865,499.9999999999999,903.5399780273438,475.938172400638,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,WDC,0.0499999999999999,535.3800048828125,0.9339160884602764,499.9999999999999,495.2099914550781,462.48457818617345,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,STX,0.0499999999999999,875.5750122070312,0.5710532998648139,499.9999999999999,831.469970703125,474.8136705085197,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,DELL,0.0499999999999999,390.0499877929688,1.2818869776901276,499.9999999999999,374.28399658203125,479.7897811763221,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,INTC,0.0499999999999999,109.5999984741211,4.562043859134365,499.9999999999999,116.29000091552734,530.5200845554111,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,CIEN,0.0499999999999999,464.6400146484375,1.076101894449011,499.9999999999999,437.239990234375,470.51478182007804,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,AMD,0.0499999999999999,487.2250061035156,1.026219906073068,499.9999999999999,468.2099914550781,480.4864134535022,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,ON,0.0499999999999999,122.27999877929688,4.088976161199099,499.9999999999999,112.98999786376953,462.01340771889073,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,HPE,0.0499999999999999,49.400001525878906,10.121457177244572,499.9999999999999,45.64799880981445,462.0242651804482,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,NUE,0.0499999999999999,253.7400054931641,1.9705209630945253,499.9999999999999,255.14999389648438,502.77841170646263,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,COHR,0.0499999999999999,390.364990234375,1.2808525674902351,499.9999999999999,351.9599914550781,450.80885870907804,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,LITE,0.0499999999999999,877.6699829101562,0.5696902135608106,499.9999999999999,851.9749755859375,485.36180579001916,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,LRCX,0.0499999999999999,322.4599914550781,1.5505799579779955,499.9999999999999,340.0000915527344,527.1973276723535,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,FIX,0.0499999999999999,1804.06494140625,0.2771518854583222,499.9999999999999,1755.135009765625,486.4389771904537,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,GLW,0.0499999999999999,190.1000061035156,2.630194549955636,499.9999999999999,169.66000366210938,446.23881697753336,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,JBL,0.0499999999999999,356.2799987792969,1.4033905964778353,499.9999999999999,360.04998779296875,505.2907671306117,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,AMAT,0.0499999999999999,484.8500061035156,1.0312467643720102,499.9999999999999,527.1901245117188,543.6631101115871,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,TER,0.0499999999999999,375.1000061035156,1.332977850877496,499.9999999999999,364.0199890136719,485.2305826318941,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,TXN,0.0499999999999999,291.5849914550781,1.714765898974709,499.9999999999999,287.68499755859375,493.31242346009896,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V12_champion,GNRC,0.0499999999999999,266.0,1.8796992481203003,499.9999999999999,247.99000549316406,466.14662686684966,2026-06-08 13:43:32 UTC,2026-06-11 13:37:34 UTC
V13_defensive,IEF,0.0699999999999999,93.8000030517578,7.462686324367678,699.9999999999995,93.81999969482422,700.1492286747444,2026-06-08 13:43:34 UTC,2026-06-11 13:37:34 UTC
V13_defensive,WDC,0.0533333333333333,535.780029296875,0.9954333946213852,533.3333333333335,495.2099914550781,492.9485628445556,2026-06-08 13:43:34 UTC,2026-06-11 13:37:34 UTC
