strategy,ticker,target_weight,entry_price,shares,entry_value,last_price,last_value,created_at,updated_at
V12_champion,MU,0.0499999999999999,949.2199096679688,0.526748327660865,499.9999999999999,995.8699951171875,524.5728544956123,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,WDC,0.0499999999999999,535.3800048828125,0.9339160884602764,499.9999999999999,529.2899780273438,494.31242594052253,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,STX,0.0499999999999999,875.5750122070312,0.5710532998648139,499.9999999999999,868.0900268554688,495.7256744155504,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,DELL,0.0499999999999999,390.0499877929688,1.2818869776901276,499.9999999999999,391.45001220703125,501.79467306483485,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,INTC,0.0499999999999999,109.5999984741211,4.562043859134365,499.9999999999999,116.95999908447266,533.5766455876794,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,CIEN,0.0499999999999999,464.6400146484375,1.076101894449011,499.9999999999999,445.2200012207031,479.10208676018965,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,AMD,0.0499999999999999,487.2250061035156,1.026219906073068,499.9999999999999,488.45001220703125,501.25712564848845,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,ON,0.0499999999999999,122.27999877929688,4.088976161199099,499.9999999999999,115.95999908447266,474.15767190907803,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,HPE,0.0499999999999999,49.400001525878906,10.121457177244572,499.9999999999999,46.79999923706055,473.684188172987,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,NUE,0.0499999999999999,253.7400054931641,1.9705209630945253,499.9999999999999,260.8999938964844,514.1089072442562,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,COHR,0.0499999999999999,390.364990234375,1.2808525674902351,499.9999999999999,363.5799865722656,465.6923592891516,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,LITE,0.0499999999999999,877.6699829101562,0.5696902135608106,499.9999999999999,889.5900268554688,506.79073238085925,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,LRCX,0.0499999999999999,322.4599914550781,1.5505799579779955,499.9999999999999,362.5199890136719,562.1162293310027,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,FIX,0.0499999999999999,1804.06494140625,0.2771518854583222,499.9999999999999,1843.4200439453125,510.9073408711065,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,GLW,0.0499999999999999,190.1000061035156,2.630194549955636,499.9999999999999,176.5500030517578,464.3608558213843,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,JBL,0.0499999999999999,356.2799987792969,1.4033905964778353,499.9999999999999,376.8900146484375,528.9239024640108,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,AMAT,0.0499999999999999,484.8500061035156,1.0312467643720102,499.9999999999999,552.6400146484375,569.9082269687016,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,TER,0.0499999999999999,375.1000061035156,1.332977850877496,499.9999999999999,381.3999938964844,508.39774418882587,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,TXN,0.0499999999999999,291.5849914550781,1.714765898974709,499.9999999999999,297.1000061035156,509.4569590514865,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
V12_champion,GNRC,0.0499999999999999,266.0,1.8796992481203003,499.9999999999999,257.3299865722656,483.70298227869466,2026-06-08 13:43:32 UTC,2026-06-11 20:19:22 UTC
