strategy,days_tracked,initial_value,current_value,total_return,max_drawdown,annualized_vol,annualized_return,sharpe_estimate
SPY_benchmark_for_V12,6,9769.314817208417,9932.349689875478,0.016688465436683453,-0.0024608660079542544,0.08641613852915166,1.003972001160213,11.617876223681675
SPY_benchmark_for_V13,6,9769.314817208417,9932.349689875478,0.016688465436683453,-0.0024608660079542544,0.08641613852915166,1.003972001160213,11.617876223681675
V12_champion,6,9673.53020595729,10102.549585884422,0.0443498258436128,-0.002758860477469538,0.18588775821570527,5.1877383815387486,27.907907606905805
V13_defensive,6,9934.201242623918,10122.97495275526,0.019002404473284162,-0.001060183934388892,0.0680799728354754,1.2047470436234384,17.696056467808457
