,strategy,ticker,target_weight,entry_price,shares,entry_value,last_price,last_value,created_at,updated_at,gain_loss,weight_now
0,V12_champion,MU,0.0499999999999999,949.2199096679688,0.526748327660865,499.9999999999999,934.2000122070312,492.0882941308134,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.015823411738372983,0.050044102139785336
1,V12_champion,WDC,0.0499999999999999,535.3800048828125,0.9339160884602764,499.9999999999999,518.280029296875,484.03005768801495,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.031939884623969905,0.04922460041129524
2,V12_champion,STX,0.0499999999999999,875.5750122070312,0.5710532998648139,499.9999999999999,860.7899780273438,491.5569574430753,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.016886085113849147,0.049990066577897514
3,V12_champion,DELL,0.0499999999999999,390.0499877929688,1.2818869776901276,499.9999999999999,386.4100036621094,495.3339517436525,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.009332096512694732,0.05037417709386363
4,V12_champion,INTC,0.0499999999999999,109.5999984741211,4.562043859134365,499.9999999999999,108.48999786376952,494.9361285319101,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.010127742936179684,0.050333719505907426
5,V12_champion,CIEN,0.0499999999999999,464.6400146484375,1.076101894449011,499.9999999999999,444.2999877929688,478.1120585676862,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.04377588286462741,0.048622755262826486
6,V12_champion,AMD,0.0499999999999999,487.2250061035156,1.026219906073068,499.9999999999999,477.3599853515625,489.8763193305216,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.02024736133895655,0.04981915004448716
7,V12_champion,ON,0.0499999999999999,122.27999877929688,4.088976161199099,499.9999999999999,117.91000366210938,482.1311941412637,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.03573761171747247,0.04903149091770124
8,V12_champion,HPE,0.0499999999999999,49.400001525878906,10.121457177244572,499.9999999999999,47.964500427246094,485.4706371023003,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.029058725795399143,0.049371103598241206
9,V12_champion,NUE,0.0499999999999999,253.7400054931641,1.9705209630945253,499.9999999999999,250.97999572753903,494.5613428984901,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.010877314203019517,0.05029560477986518
10,V12_champion,COHR,0.0499999999999999,390.364990234375,1.2808525674902351,499.9999999999999,366.6700134277344,469.6502281205925,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.06069954375881481,0.04776220907175751
11,V12_champion,LITE,0.0499999999999999,877.6699829101562,0.5696902135608106,499.9999999999999,848.5800170898438,483.42773115934943,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.03314453768130088,0.04916334536686204
12,V12_champion,LRCX,0.0499999999999999,322.4599914550781,1.5505799579779955,499.9999999999999,331.2749938964844,513.6683661151715,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,0.027336732230343275,0.05223873944258216
13,V12_champion,FIX,0.0499999999999999,1804.06494140625,0.2771518854583222,499.9999999999999,1814.9599609375,503.01957520519096,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,0.006039150410382055,0.05115578504939633
14,V12_champion,GLW,0.0499999999999999,190.1000061035156,2.630194549955636,499.9999999999999,178.63499450683594,469.8447889832349,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.06031042203352999,0.047781995406443
15,V12_champion,JBL,0.0499999999999999,356.2799987792969,1.4033905964778353,499.9999999999999,358.69000244140625,503.3821764768813,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,0.0067643529537628755,0.0511926606574791
16,V12_champion,AMAT,0.0499999999999999,484.8500061035156,1.0312467643720102,499.9999999999999,501.8399963378906,517.5208724559112,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,0.03504174491182277,0.052630529337017035
17,V12_champion,TER,0.0499999999999999,375.1000061035156,1.332977850877496,499.9999999999999,374.6499938964844,499.4001436954028,2026-06-08 13:43:32 UTC,2026-06-09 15:06:40 UTC,-0.001199712609194159,0.0507876982602486
