,date,timestamp,strategy,initial_value,current_value,return,num_positions,plot_time
28,2026-06-09,2026-06-09 15:33:23 UTC,SPY_benchmark_for_V12,10000,9842.888812616226,-0.0157111187383774,1,2026-06-09T15:33:23.000Z
29,2026-06-09,2026-06-09 15:33:23 UTC,SPY_benchmark_for_V13,10000,9842.888812616226,-0.0157111187383774,1,2026-06-09T15:33:23.000Z
30,2026-06-09,2026-06-09 15:33:23 UTC,V12_champion,9999.999999999998,9612.079733161265,-0.0387920266838733,20,2026-06-09T15:33:23.000Z
31,2026-06-09,2026-06-09 15:33:23 UTC,V13_defensive,10000.000000000002,9820.169101105785,-0.0179830898894217,19,2026-06-09T15:33:23.000Z
24,2026-06-09,2026-06-09 15:20:43 UTC,SPY_benchmark_for_V12,10000,9913.77089611003,-0.0086229103889969,1,2026-06-09T15:20:43.000Z
25,2026-06-09,2026-06-09 15:20:43 UTC,SPY_benchmark_for_V13,10000,9913.77089611003,-0.0086229103889969,1,2026-06-09T15:20:43.000Z
26,2026-06-09,2026-06-09 15:20:43 UTC,V12_champion,9999.999999999998,9825.02546895168,-0.0174974531048317,20,2026-06-09T15:20:43.000Z
27,2026-06-09,2026-06-09 15:20:43 UTC,V13_defensive,10000.000000000002,9916.831380277245,-0.0083168619722757,19,2026-06-09T15:20:43.000Z
20,2026-06-09,2026-06-09 15:14:15 UTC,SPY_benchmark_for_V12,10000,9930.463050756262,-0.0069536949243738,1,2026-06-09T15:14:15.000Z
21,2026-06-09,2026-06-09 15:14:15 UTC,SPY_benchmark_for_V13,10000,9930.463050756262,-0.0069536949243738,1,2026-06-09T15:14:15.000Z
22,2026-06-09,2026-06-09 15:14:15 UTC,V12_champion,9999.999999999998,9867.003974592908,-0.013299602540709,20,2026-06-09T15:14:15.000Z
23,2026-06-09,2026-06-09 15:14:15 UTC,V13_defensive,10000.000000000002,9935.107473090264,-0.0064892526909737,19,2026-06-09T15:14:15.000Z
16,2026-06-09,2026-06-09 15:06:40 UTC,SPY_benchmark_for_V12,10000,9926.829462696518,-0.0073170537303481,1,2026-06-09T15:06:40.000Z
17,2026-06-09,2026-06-09 15:06:40 UTC,SPY_benchmark_for_V13,10000,9926.829462696518,-0.0073170537303481,1,2026-06-09T15:06:40.000Z
18,2026-06-09,2026-06-09 15:06:40 UTC,V12_champion,9999.999999999998,9833.092674063591,-0.0166907325936405,20,2026-06-09T15:06:40.000Z
19,2026-06-09,2026-06-09 15:06:40 UTC,V13_defensive,10000.000000000002,9916.280956217806,-0.0083719043782195,19,2026-06-09T15:06:40.000Z
12,2026-06-09,2026-06-09 14:41:01 UTC,SPY_benchmark_for_V12,10000,9978.796674289097,-0.0021203325710905,1,2026-06-09T14:41:01.000Z
13,2026-06-09,2026-06-09 14:41:01 UTC,SPY_benchmark_for_V13,10000,9978.796674289097,-0.0021203325710905,1,2026-06-09T14:41:01.000Z
14,2026-06-09,2026-06-09 14:41:01 UTC,V12_champion,9999.999999999998,9972.804549780318,-0.002719545021968,20,2026-06-09T14:41:01.000Z
15,2026-06-09,2026-06-09 14:41:01 UTC,V13_defensive,10000.000000000002,9989.80398461994,-0.001019601538006,19,2026-06-09T14:41:01.000Z
8,2026-06-09,2026-06-09 14:38:21 UTC,SPY_benchmark_for_V12,10000,9978.932255933114,-0.0021067744066886,1,2026-06-09T14:38:21.000Z
9,2026-06-09,2026-06-09 14:38:21 UTC,SPY_benchmark_for_V13,10000,9978.932255933114,-0.0021067744066886,1,2026-06-09T14:38:21.000Z
10,2026-06-09,2026-06-09 14:38:21 UTC,V12_champion,9999.999999999998,9984.72450522083,-0.0015275494779167,20,2026-06-09T14:38:21.000Z
11,2026-06-09,2026-06-09 14:38:21 UTC,V13_defensive,10000.000000000002,9991.878526988385,-0.0008121473011617,19,2026-06-09T14:38:21.000Z
4,2026-06-08,2026-06-08 21:46:22 UTC,SPY_benchmark_for_V12,10000,9952.004919723751,-0.0047995080276248,1,2026-06-08T21:46:22.000Z
5,2026-06-08,2026-06-08 21:46:22 UTC,SPY_benchmark_for_V13,10000,9952.004919723751,-0.0047995080276248,1,2026-06-08T21:46:22.000Z
6,2026-06-08,2026-06-08 21:46:22 UTC,V12_champion,9999.999999999998,10064.38057673472,0.0064380576734721,20,2026-06-08T21:46:22.000Z
7,2026-06-08,2026-06-08 21:46:22 UTC,V13_defensive,10000.000000000002,10014.702265346446,0.0014702265346444,19,2026-06-08T21:46:22.000Z
0,2026-06-08,2026-06-08 21:31:08 UTC,SPY_benchmark_for_V12,10000,9952.004919723751,-0.0047995080276248,1,2026-06-08T21:31:08.000Z
1,2026-06-08,2026-06-08 21:31:08 UTC,SPY_benchmark_for_V13,10000,9952.004919723751,-0.0047995080276248,1,2026-06-08T21:31:08.000Z
2,2026-06-08,2026-06-08 21:31:08 UTC,V12_champion,9999.999999999998,10064.38057673472,0.0064380576734721,20,2026-06-08T21:31:08.000Z
3,2026-06-08,2026-06-08 21:31:08 UTC,V13_defensive,10000.000000000002,10014.702265346446,0.0014702265346444,19,2026-06-08T21:31:08.000Z
